Year, Article Count, Ref Count
1990,1,1
1991,0,0
1992,1,1
1993,0,0
1994,1,1
1995,0,0
1996,0,0
1997,1,1
1998,0,0
1999,1,1
2000,1,1
2001,2,2
2002,1,1
2003,3,3
2004,3,3
2005,1,1
2006,1,1
2007,0,0
2008,1,1
2009,2,2
2010,2,2
2011,3,3
2012,2,2
2013,3,3
2014,4,4
2015,2,2
2016,3,3
2017,6,6
2018,5,5
2019,12,12
2020,9,9
2021,5,5
