Year, Article Count, Ref Count
2003,1,1
2004,0,0
2005,1,1
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,1,1
2011,4,4
2012,1,1
2013,3,3
2014,4,4
2015,0,0
2016,3,3
2017,3,3
2018,2,2
2019,3,3
2020,5,5
2021,3,3
