Year, Article Count, Ref Count
1980,1,1
1981,0,0
1982,1,1
1983,1,1
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,1,1
1990,0,0
1991,0,0
1992,0,0
1993,1,1
1994,0,0
1995,0,0
1996,1,1
1997,0,0
1998,2,2
1999,0,0
2000,1,1
2001,0,0
2002,1,1
2003,0,0
2004,2,2
2005,0,0
2006,4,4
2007,0,0
2008,4,4
2009,1,1
2010,1,1
2011,4,4
2012,3,3
2013,1,1
2014,3,3
2015,3,3
2016,1,1
2017,5,5
2018,7,7
2019,1,1
2020,9,9
2021,2,2
