Year, Article Count, Ref Count
1985,1,1
1986,0,0
1987,0,0
1988,1,1
1989,0,0
1990,1,1
1991,2,2
1992,1,1
1993,1,1
1994,1,1
1995,0,0
1996,0,0
1997,5,5
1998,3,3
1999,3,3
2000,3,3
2001,6,6
2002,9,9
2003,11,11
2004,8,8
2005,6,6
2006,3,3
2007,4,4
2008,6,6
2009,5,5
2010,10,10
2011,6,6
2012,8,8
2013,10,10
2014,7,7
2015,7,7
2016,9,9
2017,12,12
2018,14,14
2019,14,14
2020,12,12
2021,9,9
